anon_ticket_number,issue_datetime,state,anon_plate_id,division,location,violation_desc,fine,issuing_agency,lat,lon,gps,zip_code
8980508,2017-11-11 14:39:00,MI,4729372,,3600 WALNUT ST,METER EXPIRED CC,36,PPA,39.953173,-75.195537,True,19104.0
8980509,2017-11-11 14:50:00,PA,1131763,,200 S 38TH ST,METER EXPIRED CC,36,PPA,39.952512,-75.198865,True,
8980510,2017-11-09 15:18:00,PA,4729373,,1500 CALLOWHILL ST,METER EXPIRED CC,36,PPA,39.959868,-75.164407,True,19130.0
8980553,2017-10-18 01:23:00,PA,2075536,,2500 BROWN ST,PARKING PROHBITED,41,POLICE,39.97014769414851,-75.17833154398821,False,19130.0
8980554,2017-10-31 16:38:00,PA,1533161,,6500 CASTOR AVE,EXPIRED INSPECTION,41,PPA,40.04101,-75.075772,True,19149.0
8980555,2017-11-21 13:32:00,NY,4729390,,199 S 15TH ST,EXPIRED INSPECTION,41,PPA,39.949972,-75.165878,True,19102.0
8980556,2017-11-04 11:34:00,PA,2186531,,1 N 22ND ST,METER EXPIRED CC,36,PPA,39.955492,-75.176085,True,19103.0
8980557,2017-11-01 19:37:00,PA,720712,,1000 CHESTNUT ST,HP RESERVED SPACE,301,PPA,39.950068,-75.158117,True,19107.0
8980558,2017-10-15 08:55:00,NJ,2119238,,199 S 10TH ST,PASSENGR LOADNG ZONE,31,PPA,39.948947,-75.156738,True,19107.0
8980559,2017-10-13 11:53:00,FL,2325859,,1000 SOUTH ST,METER EXPIRED CC,36,PPA,39.942848,-75.15906,True,19147.0
8980560,2017-10-12 20:07:00,PA,4729391,,538 SOUTH ST,STOP PROHIBITED CC,76,PPA,39.94199,-75.152273,True,19147.0
8980561,2017-11-07 12:54:00,PA,4729392,,600 MARLYN RD,EXPIRED INSPECTION,41,POLICE,39.9729690846012,-75.24795435838796,False,19151.0
8980562,2017-12-14 21:48:00,PA,4729393,,125 SOUTH ST,METER EXPIRED CC,36,PPA,39.941083,-75.145005,True,19147.0
8980605,2017-10-28 11:32:00,PA,4729418,,600 S 8TH ST,OVER TIME LIMIT CC,36,PPA,39.941927,-75.155618,True,19147.0
8980606,2017-11-14 18:16:00,PA,1955273,,1500 W NORRIS ST,EXPIRED INSPECTION,41,PPA,39.983437,-75.158925,True,
8980607,2017-10-17 12:02:00,NJ,4729419,,299 S 3RD ST,OVER TIME LIMIT CC,36,PPA,39.945002,-75.146888,True,19106.0
8980608,2017-11-10 19:51:00,NY,4729420,,400 N 18TH ST,METER EXPIRED CC,36,PPA,39.961192,-75.168238,True,
8980650,2017-11-11 12:47:00,PA,2508638,,6600 CASTOR AVE,METER EXPIRED,26,PPA,40.04215,-75.074618,True,19149.0
8980651,2017-11-11 12:58:00,PA,4729438,,6500 CASTOR AVE,METER EXPIRED,26,PPA,40.041115,-75.07567,True,19149.0
8980652,2017-11-29 15:03:00,PA,4729438,,1015 CHESTNUT ST,METER EXPIRED CC,36,PPA,39.949943,-75.157827,True,19107.0
8980653,2017-11-11 09:42:00,PA,4729439,,6700 CASTOR AVE,METER EXPIRED,26,PPA,40.044075,-75.07293,True,19149.0
8980654,2017-11-11 09:48:00,PA,4729440,,6700 CASTOR AVE,METER EXPIRED,26,PPA,40.042828,-75.074197,True,19149.0
8980655,2017-11-11 10:44:00,PA,4729441,,6400 RISING SUN AVE,METER EXPIRED,26,PPA,40.050238,-75.094875,True,19111.0
8980656,2017-11-10 10:25:00,NJ,4729442,,1200 RIDGE AVE,OVER TIME LIMIT,26,PPA,39.96343,-75.158533,True,19123.0
8980657,2017-11-11 10:52:00,NJ,4729442,,6400 RISING SUN AVE,METER EXPIRED,26,PPA,40.050943,-75.09428,True,19111.0
8980658,2017-11-11 11:23:00,MA,4729443,,7300 FRANKFORD AVE,METER EXPIRED,26,PPA,40.03718,-75.039923,True,19136.0
